network,cohort_month,registrations,costed_registrations,spend,spend_prior_clean,prior_clean_share,prior_clean_share_costed,spend_share_prior_clean,cr_prior_clean,cr_other
1002,2026-01-01,20021,881,360256.42,5174.08,0.0334,0.0193,0.0144,0.0704,0.0599
1052,2026-01-01,4962,2985,65746.78,976.8,0.0212,0.0151,0.0149,0.0667,0.036
303,2026-01-01,13900,9834,39917.23,89.24,0.0037,0.0021,0.0022,0.0192,0.0106
427,2026-01-01,10495,5597,121089.9,6002.88,0.0485,0.0615,0.0496,0.057,0.0446
523,2026-01-01,69247,28685,130855.38,946.09,0.0102,0.0066,0.0072,0.0227,0.0117
612,2026-01-01,35293,709,395891.86,17264.2,0.0542,0.0409,0.0436,0.035,0.0267
719,2026-01-01,22421,4576,167261.46,17765.92,0.0586,0.0774,0.1062,0.051,0.0232
730,2026-01-01,22515,14715,340926.14,5328.0,0.0159,0.0139,0.0156,0.0529,0.0555
833,2026-01-01,144962,49043,367940.28,3871.83,0.0203,0.0109,0.0105,0.0204,0.0124
851,2026-01-01,17483,3426,5883.67,27.94,0.005,0.0058,0.0047,0.0115,0.0043
889,2026-01-01,1121,21,6585.26,1073.0,0.0651,0.1429,0.1629,0.0411,0.0191
897,2026-01-01,39571,25557,273414.9,1486.29,0.0097,0.0056,0.0054,0.0391,0.0289
911,2026-01-01,10736,2952,40261.92,486.92,0.0167,0.0129,0.0121,0.0223,0.0128
organic,2026-01-01,178129,0,0.0,0.0,0.0443,,,0.0342,0.0239
ppc,2026-01-01,400847,399754,3434563.38,30043.82,0.0055,0.0055,0.0087,0.054,0.0305
1002,2026-02-01,17893,746,388502.96,11117.76,0.0504,0.0282,0.0286,0.1053,0.0678
1052,2026-02-01,7462,2380,97812.83,3004.4,0.0354,0.0227,0.0307,0.0455,0.0385
303,2026-02-01,16890,12843,74672.92,931.29,0.018,0.0121,0.0125,0.0329,0.0243
413,2026-02-01,4191,3121,41502.9,2865.28,0.0699,0.0747,0.069,0.0546,0.0405
427,2026-02-01,19112,14482,210028.87,11938.42,0.0491,0.0546,0.0568,0.066,0.0481
523,2026-02-01,78914,30594,122071.14,1352.61,0.017,0.0115,0.0111,0.0149,0.0108
612,2026-02-01,26602,543,264460.46,12967.76,0.0779,0.0479,0.049,0.043,0.03
719,2026-02-01,20216,12806,173942.92,27110.64,0.1244,0.1303,0.1559,0.0489,0.0268
730,2026-02-01,32651,22854,473536.36,13044.72,0.0273,0.028,0.0275,0.0873,0.0557
833,2026-02-01,149074,48541,368091.47,5655.45,0.0284,0.0161,0.0154,0.0295,0.0117
851,2026-02-01,42209,9471,16590.73,183.0,0.0084,0.0106,0.011,0.0169,0.0042
889,2026-02-01,7455,123,25377.56,518.0,0.0427,0.0244,0.0204,0.0094,0.0226
897,2026-02-01,22414,13977,174036.79,1812.36,0.0162,0.0103,0.0104,0.0552,0.0456
911,2026-02-01,9682,3154,26448.56,622.34,0.0271,0.0184,0.0235,0.0229,0.0177
organic,2026-02-01,147977,0,0.0,0.0,0.055,,,0.0373,0.0251
ppc,2026-02-01,320772,319846,2634830.89,34935.62,0.0089,0.0089,0.0133,0.0647,0.0307
1002,2026-03-01,17646,710,329305.92,10159.46,0.0478,0.0282,0.0309,0.0783,0.0655
1052,2026-03-01,20931,2999,403751.77,11516.62,0.0404,0.0193,0.0285,0.0651,0.0324
303,2026-03-01,64471,44215,110349.18,2493.45,0.0461,0.032,0.0226,0.0131,0.013
413,2026-03-01,18980,14894,265951.26,13209.74,0.0466,0.0494,0.0497,0.0938,0.0526
427,2026-03-01,27367,21510,389475.32,18938.82,0.0451,0.0488,0.0486,0.0834,0.0527
523,2026-03-01,159449,60670,191951.63,2707.62,0.0178,0.0143,0.0141,0.0184,0.0077
612,2026-03-01,17370,337,148589.78,7668.62,0.1024,0.0475,0.0516,0.041,0.0271
719,2026-03-01,20082,14136,203330.54,30103.2,0.1304,0.142,0.1481,0.0577,0.0282
730,2026-03-01,19594,14071,307861.09,12284.0,0.0365,0.039,0.0399,0.0629,0.0488
833,2026-03-01,198658,76477,609139.14,10422.68,0.0302,0.0188,0.0171,0.0206,0.012
851,2026-03-01,112141,27095,41257.07,620.27,0.0101,0.0134,0.015,0.015,0.0032
889,2026-03-01,9293,153,33569.36,2769.08,0.0373,0.0719,0.0825,0.0432,0.021
897,2026-03-01,17039,10756,136333.62,1810.74,0.0202,0.0135,0.0133,0.0638,0.038
911,2026-03-01,63511,12422,55998.91,860.77,0.0167,0.0207,0.0154,0.0142,0.005
organic,2026-03-01,177362,0,0.0,0.0,0.0584,,,0.0414,0.0233
ppc,2026-03-01,463697,462492,3209081.1,42441.3,0.0096,0.0096,0.0132,0.0616,0.0279
1002,2026-04-01,15365,1803,360645.66,6163.46,0.0489,0.0089,0.0171,0.0652,0.0558
1052,2026-04-01,16723,1186,235009.2,6771.0,0.0447,0.016,0.0288,0.0628,0.037
303,2026-04-01,48343,33118,41636.7,1191.59,0.0367,0.0293,0.0286,0.0152,0.0096
413,2026-04-01,28383,22320,390989.58,25242.33,0.0618,0.0665,0.0646,0.0775,0.0461
427,2026-04-01,36231,28951,575713.97,35947.02,0.0647,0.069,0.0624,0.0652,0.0507
523,2026-04-01,162877,60243,140237.44,2032.52,0.0187,0.0143,0.0145,0.0148,0.0053
612,2026-04-01,11770,246,127462.78,13064.7,0.1116,0.0976,0.1025,0.0472,0.0278
719,2026-04-01,18336,13947,240756.41,41144.74,0.154,0.1649,0.1709,0.0613,0.0366
730,2026-04-01,12943,10281,69424.58,3852.44,0.0569,0.0585,0.0555,0.0448,0.0342
833,2026-04-01,187180,68090,508212.02,9343.24,0.0326,0.0211,0.0184,0.0249,0.011
851,2026-04-01,34029,9333,20056.33,319.42,0.0146,0.0151,0.0159,0.0101,0.0047
889,2026-04-01,8317,128,32576.28,1055.24,0.0469,0.0313,0.0324,0.0333,0.0201
897,2026-04-01,11518,7679,80554.0,1434.19,0.0288,0.0188,0.0178,0.0422,0.0333
911,2026-04-01,83458,15330,22278.22,418.47,0.0146,0.0193,0.0188,0.009,0.0018
organic,2026-04-01,179023,0,0.0,0.0,0.0751,,,0.0392,0.0247
ppc,2026-04-01,466615,464050,3133803.87,45808.63,0.0103,0.0103,0.0146,0.0546,0.0271
1002,2026-05-01,12481,566,321129.66,14266.46,0.059,0.0424,0.0444,0.106,0.0707
1052,2026-05-01,12455,1523,354198.78,10784.02,0.0538,0.0171,0.0304,0.0731,0.0401
303,2026-05-01,11518,7616,8769.41,234.1,0.0375,0.028,0.0267,0.0139,0.007
413,2026-05-01,39889,31538,676876.52,58121.82,0.0777,0.085,0.0859,0.0851,0.053
427,2026-05-01,44833,35537,726315.55,57881.32,0.0734,0.08,0.0797,0.0803,0.0523
523,2026-05-01,125524,44207,103513.38,1784.29,0.0221,0.0172,0.0172,0.0104,0.006
612,2026-05-01,8982,226,109937.36,6637.8,0.1026,0.0619,0.0604,0.0401,0.0294
719,2026-05-01,16695,12800,262623.03,43099.08,0.1496,0.1597,0.1641,0.0621,0.0437
