network,country,cohort_month,registrations,no_session_rate,d7_rate,med_sessions,ppc_registrations,ppc_no_session_rate,ppc_d7_rate,no_session_ratio,d7_ratio,sample_ok,incentivized_alert
1002,AD,2026-01-01,5,0.0,0.2,18.0,61,0.0492,0.1148,0.0,1.743,False,False
1002,AE,2026-01-01,3,0.0,0.0,5.0,99,0.0202,0.1212,0.0,0.0,False,False
1002,AG,2026-01-01,2,0.5,0.0,3.0,32,0.0625,0.0938,8.0,0.0,False,False
1002,AI,2026-01-01,2,0.0,0.5,18.5,63,0.1111,0.1111,0.0,4.5,False,False
1002,AL,2026-01-01,8,0.0,0.0,2.5,258,0.0698,0.1047,0.0,0.0,False,False
1002,AM,2026-01-01,2,0.5,0.0,1.0,158,0.1013,0.0443,4.938,0.0,False,False
1002,AO,2026-01-01,2,0.0,0.0,7.0,401,0.1297,0.0698,0.0,0.0,False,False
1002,AQ,2026-01-01,2,0.0,0.5,112.0,10,0.0,0.4,,1.25,False,False
1002,AR,2026-01-01,14,0.1429,0.0714,2.0,8269,0.145,0.1057,0.985,0.676,False,False
1002,AS,2026-01-01,1,0.0,0.0,14.0,45,0.0667,0.1111,0.0,0.0,False,False
1002,AT,2026-01-01,90,0.0778,0.0667,3.0,740,0.1486,0.0811,0.523,0.822,False,False
1002,AU,2026-01-01,1241,0.0653,0.0612,3.0,10946,0.1259,0.08,0.518,0.765,True,False
1002,AW,2026-01-01,2,0.0,0.0,24.0,124,0.1129,0.129,0.0,0.0,False,False
1002,AX,2026-01-01,6,0.0,0.5,80.5,54,0.0,0.2407,,2.077,False,False
1002,BA,2026-01-01,1,0.0,0.0,3.0,,,,,,False,False
1002,BD,2026-01-01,10,0.0,0.0,1.0,35,0.1143,0.1429,0.0,0.0,False,False
1002,BE,2026-01-01,157,0.1146,0.0573,4.0,1710,0.1392,0.0865,0.824,0.662,False,False
1002,BG,2026-01-01,9,0.0,0.0,1.0,792,0.1301,0.053,0.0,0.0,False,False
1002,BR,2026-01-01,18,0.0,0.1667,4.5,50852,0.1322,0.0983,0.0,1.695,False,False
1002,BS,2026-01-01,6,0.0,0.1667,5.5,196,0.1122,0.1173,0.0,1.42,False,False
1002,BT,2026-01-01,2,0.0,0.0,1.0,130,0.0846,0.0308,0.0,0.0,False,False
1002,BZ,2026-01-01,2,0.0,0.5,5.5,104,0.1635,0.1058,0.0,4.727,False,False
1002,CA,2026-01-01,1332,0.0713,0.0495,2.0,15781,0.1226,0.0855,0.582,0.579,True,False
1002,CH,2026-01-01,96,0.0833,0.0625,3.0,1594,0.1581,0.0715,0.527,0.874,False,False
1002,CI,2026-01-01,5,0.0,0.0,2.0,40,0.075,0.2,0.0,0.0,False,False
1002,CL,2026-01-01,7,0.1429,0.0,3.0,5808,0.1283,0.1047,1.114,0.0,False,False
1002,CM,2026-01-01,2,0.0,0.0,6.0,16,0.0625,0.125,0.0,0.0,False,False
1002,CN,2026-01-01,9,0.1111,0.0,3.0,225,0.1467,0.0844,0.758,0.0,False,False
1002,CO,2026-01-01,19,0.1053,0.0526,2.0,690,0.1217,0.1493,0.865,0.353,False,False
1002,CR,2026-01-01,4,0.25,0.0,10.0,1681,0.1273,0.0839,1.964,0.0,False,False
1002,CU,2026-01-01,1,0.0,0.0,1.0,,,,,,False,False
1002,CY,2026-01-01,3,0.3333,0.0,8.0,564,0.117,0.0567,2.848,0.0,False,False
1002,CZ,2026-01-01,3,0.0,0.0,17.0,45,0.0889,0.0667,0.0,0.0,False,False
1002,DE,2026-01-01,2087,0.1025,0.0388,2.0,3365,0.1578,0.0636,0.65,0.61,True,False
1002,DK,2026-01-01,83,0.0602,0.0964,4.0,413,0.1114,0.0605,0.541,1.592,False,False
1002,DO,2026-01-01,18,0.1667,0.0,2.0,2973,0.1483,0.0938,1.124,0.0,False,False
1002,DZ,2026-01-01,4,0.0,0.25,23.0,50,0.02,0.22,0.0,1.136,False,False
1002,EC,2026-01-01,10,0.0,0.0,3.5,178,0.1067,0.118,0.0,0.0,False,False
1002,EE,2026-01-01,1,0.0,0.0,1.0,238,0.1345,0.0672,0.0,0.0,False,False
1002,ES,2026-01-01,116,0.069,0.0603,3.0,11817,0.1355,0.083,0.509,0.727,False,False
1002,FI,2026-01-01,63,0.0476,0.0794,3.0,478,0.1067,0.069,0.446,1.15,False,False
1002,FJ,2026-01-01,4,0.0,0.0,1.0,118,0.1186,0.0932,0.0,0.0,False,False
1002,FR,2026-01-01,311,0.074,0.074,2.0,7237,0.126,0.0927,0.587,0.798,False,False
1002,GB,2026-01-01,1557,0.0861,0.061,3.0,21530,0.1218,0.0854,0.707,0.715,True,False
1002,GE,2026-01-01,10,0.0,0.1,4.5,67,0.1194,0.0896,0.0,1.117,False,False
1002,GI,2026-01-01,1,0.0,0.0,3.0,24,0.2083,0.0,0.0,,False,False
1002,GM,2026-01-01,2,0.0,0.5,6.5,41,0.0976,0.1463,0.0,3.417,False,False
1002,GQ,2026-01-01,2,0.0,0.0,4.5,44,0.2273,0.0682,0.0,0.0,False,False
1002,GR,2026-01-01,10,0.0,0.0,2.0,1061,0.1433,0.0679,0.0,0.0,False,False
1002,GT,2026-01-01,1,0.0,1.0,6.0,746,0.1139,0.0938,0.0,10.657,False,False
1002,GU,2026-01-01,1,0.0,0.0,2.0,179,0.1508,0.0894,0.0,0.0,False,False
1002,HK,2026-01-01,11,0.1818,0.0909,2.0,1525,0.1482,0.0643,1.227,1.415,False,False
1002,HN,2026-01-01,3,0.0,0.0,2.0,331,0.139,0.1057,0.0,0.0,False,False
1002,HR,2026-01-01,3,0.0,0.0,10.0,837,0.1195,0.1111,0.0,0.0,False,False
1002,HU,2026-01-01,6,0.0,0.0,3.0,87,0.1034,0.1724,0.0,0.0,False,False
1002,ID,2026-01-01,11,0.0909,0.0,2.5,8,0.375,0.0,0.242,,False,False
1002,IE,2026-01-01,142,0.1056,0.1127,4.0,2056,0.1172,0.0851,0.901,1.324,False,False
1002,IL,2026-01-01,13,0.2308,0.0,4.5,1659,0.1097,0.0729,2.104,0.0,False,False
1002,IN,2026-01-01,80,0.1,0.0375,1.0,155,0.1161,0.071,0.861,0.528,False,False
1002,IS,2026-01-01,4,0.0,0.0,6.0,117,0.0513,0.0855,0.0,0.0,False,False
1002,IT,2026-01-01,650,0.0831,0.0431,2.0,13798,0.1334,0.0742,0.623,0.58,True,False
1002,JM,2026-01-01,2,0.0,0.0,3.5,4777,0.121,0.0959,0.0,0.0,False,False
1002,JP,2026-01-01,34,0.0,0.0,2.0,334,0.1677,0.0659,0.0,0.0,False,False
