network,country,cohort_month,registrations,costed_registrations,spend,cohort_60dplus_registrations,cohort_60dplus_spend,payers,gross_revenue,net_revenue,chargeback_amount,cohort_60dplus_gross_revenue,cohort_60dplus_net_revenue,cohort_60dplus_chargeback_amount,sample_ok
1002,AD,2026-01-01,5,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,AE,2026-01-01,3,0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,AG,2026-01-01,2,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,AI,2026-01-01,2,1,550.56,2,550.56,1,195.0,195.0,0.0,195.0,195.0,0.0,False
1002,AL,2026-01-01,8,1,384.8,8,384.8,2,4215.0,4215.0,0.0,4215.0,4215.0,0.0,False
1002,AM,2026-01-01,2,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,AO,2026-01-01,2,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,AQ,2026-01-01,2,0,0.0,2,0.0,1,420.0,420.0,0.0,420.0,420.0,0.0,False
1002,AR,2026-01-01,14,1,384.8,14,384.8,2,2970.0,2970.0,0.0,2970.0,2970.0,0.0,False
1002,AS,2026-01-01,1,0,0.0,1,0.0,1,65.0,0.0,65.0,65.0,0.0,65.0,False
1002,AT,2026-01-01,90,2,654.16,90,654.16,3,2110.0,2110.0,0.0,2110.0,2110.0,0.0,False
1002,AU,2026-01-01,1241,75,32938.14,1241,32938.14,97,70865.0,70410.0,455.0,70865.0,70410.0,455.0,True
1002,AW,2026-01-01,2,0,0.0,2,0.0,1,4690.0,4690.0,0.0,4690.0,4690.0,0.0,False
1002,AX,2026-01-01,6,1,550.56,6,550.56,3,2255.0,2255.0,0.0,2255.0,2255.0,0.0,False
1002,BA,2026-01-01,1,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,BD,2026-01-01,10,0,0.0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,BE,2026-01-01,157,7,2299.9199999999996,157,2299.9199999999996,10,2330.0,2330.0,0.0,2330.0,2330.0,0.0,False
1002,BG,2026-01-01,9,0,0.0,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,BR,2026-01-01,18,0,0.0,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,BS,2026-01-01,6,0,0.0,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,BT,2026-01-01,2,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,BZ,2026-01-01,2,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,CA,2026-01-01,1332,48,18598.42,1332,18598.42,59,72000.0,71955.0,45.0,72000.0,71955.0,45.0,True
1002,CH,2026-01-01,96,6,1983.2,96,1983.2,11,43095.0,43095.0,0.0,43095.0,43095.0,0.0,False
1002,CI,2026-01-01,5,0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,CL,2026-01-01,7,0,0.0,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1002,CM,2026-01-01,2,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
