network,country,signal,metric_value,secondary_value,baseline,threshold,sample_size,is_alert,severity,action
523,ALL,ROAS · 60+ днів після реєстрації,4.89,,5.96,1.0,840478.0,False,green,не масштабувати; перевірити джерела; знизити ставку
523,ALL,Chargeback за сумою · 60+ днів після платежу,0.004,,0.0041,0.02,790549.0,False,green,не масштабувати; перевірити джерела; знизити ставку
523,ALL,Повторна атрибуція,0.015,0.014,0.01,0.05,790549.0,False,green,не масштабувати; перевірити джерела; знизити ставку
719,ALL,ROAS · 60+ днів після реєстрації,5.33,,5.96,1.0,1476975.0,False,green,перевірити attribution window і повторні id_metauser
719,ALL,Chargeback за сумою · 60+ днів після платежу,0.0028,,0.0041,0.02,123232.0,False,green,перевірити attribution window і повторні id_metauser
719,ALL,Повторна атрибуція,0.157,0.166,0.01,0.05,123232.0,True,orange,перевірити attribution window і повторні id_metauser
911,ALL,ROAS · 60+ днів після реєстрації,7.29,,5.96,1.0,166705.0,False,green,не масштабувати; додати умови якості
911,ALL,Chargeback за сумою · 60+ днів після платежу,0.0077,,0.0041,0.02,267478.0,False,green,не масштабувати; додати умови якості
911,ALL,Повторна атрибуція,0.02,0.017,0.01,0.05,267478.0,False,green,не масштабувати; додати умови якості
1052,ALL,ROAS · 60+ днів після реєстрації,6.44,,5.96,1.0,1924382.0,False,green,затримка виплат 60 днів; резерв; перегляд ставки
1052,ALL,Chargeback за сумою · 60+ днів після платежу,0.2124,,0.0041,0.02,95788.0,True,red,затримка виплат 60 днів; резерв; перегляд ставки
1052,ALL,Повторна атрибуція,0.019,0.031,0.01,0.05,95788.0,False,green,затримка виплат 60 днів; резерв; перегляд ставки
612,ALL,ROAS · 60+ днів після реєстрації,0.85,,5.96,1.0,1168206.0,True,red,припинити співпрацю; переглянути невиплачені конверсії
612,ALL,Chargeback за сумою · 60+ днів після платежу,0.1207,,0.0041,0.02,111675.0,True,red,припинити співпрацю; переглянути невиплачені конверсії
612,ALL,Повторна атрибуція,0.056,0.059,0.01,0.05,111675.0,True,orange,припинити співпрацю; переглянути невиплачені конверсії
303,ALL,ROAS · 60+ днів після реєстрації,3.38,,5.96,1.0,338473.0,False,green,дії щодо фроду не потрібні
303,ALL,Chargeback за сумою · 60+ днів після платежу,0.0046,,0.0041,0.02,174637.0,False,green,дії щодо фроду не потрібні
