network,cohort_month,registrations,costed_registrations,spend,cohort_60dplus_registrations,cohort_60dplus_spend,payers,gross_revenue,chargeback_amount,net_revenue,roas,cohort_60dplus_gross_revenue,cohort_60dplus_chargeback_amount,cohort_60dplus_net_revenue,roas_cohort_60dplus
1002,2026-01-01,20021,881,360256.42,20021,360256.42,1206,2161245.0,7910.0,2153335.0,5.977,2161245.0,7910.0,2153335.0,5.977
1052,2026-01-01,4962,2985,65746.78,4962,65746.78,182,1040210.0,6240.0,1033970.0,15.727,1040210.0,6240.0,1033970.0,15.727
303,2026-01-01,13900,9834,39917.23,13900,39917.23,148,90720.0,480.0,90240.0,2.261,90720.0,480.0,90240.0,2.261
427,2026-01-01,10495,5597,121089.9,10495,121089.9,474,1548205.0,7730.0,1540475.0,12.722,1548205.0,7730.0,1540475.0,12.722
523,2026-01-01,69247,28685,130855.38,69247,130855.38,821,424830.0,760.0,424070.0,3.241,424830.0,760.0,424070.0,3.241
612,2026-01-01,35293,709,395891.86,35293,395891.86,957,267840.0,28155.0,239685.0,0.605,267840.0,28155.0,239685.0,0.605
719,2026-01-01,22421,4576,167261.46,22421,167261.46,556,792770.0,2590.0,790180.0,4.724,792770.0,2590.0,790180.0,4.724
730,2026-01-01,22515,14715,340926.14,22515,340926.14,1248,1582415.0,3720.0,1578695.0,4.631,1582415.0,3720.0,1578695.0,4.631
833,2026-01-01,144962,49043,367940.28,144962,367940.28,1821,1598360.0,7690.0,1590670.0,4.323,1598360.0,7690.0,1590670.0,4.323
851,2026-01-01,17483,3426,5883.67,17483,5883.67,76,69195.0,930.0,68265.0,11.602,69195.0,930.0,68265.0,11.602
889,2026-01-01,1121,21,6585.26,1121,6585.26,23,12055.0,0.0,12055.0,1.831,12055.0,0.0,12055.0,1.831
897,2026-01-01,39571,25557,273414.9,39571,273414.9,1146,2104815.0,11900.0,2092915.0,7.655,2104815.0,11900.0,2092915.0,7.655
911,2026-01-01,10736,2952,40261.92,10736,40261.92,139,194980.0,1730.0,193250.0,4.8,194980.0,1730.0,193250.0,4.8
organic,2026-01-01,178129,0,0.0,178129,0.0,4343,9862510.0,43195.0,9819315.0,,9862510.0,43195.0,9819315.0,
ppc,2026-01-01,400847,399754,3434563.38,400847,3434563.38,12284,25464715.0,103325.0,25361390.0,7.384,25464715.0,103325.0,25361390.0,7.384
1002,2026-02-01,17893,746,388502.96,17893,388502.96,1247,2788175.0,8895.0,2779280.0,7.154,2788175.0,8895.0,2779280.0,7.154
1052,2026-02-01,7462,2380,97812.83,7462,97812.83,289,1284225.0,5815.0,1278410.0,13.07,1284225.0,5815.0,1278410.0,13.07
303,2026-02-01,16890,12843,74672.92,16890,74672.92,413,379950.0,1670.0,378280.0,5.066,379950.0,1670.0,378280.0,5.066
413,2026-02-01,4191,3121,41502.9,4191,41502.9,174,222440.0,985.0,221455.0,5.336,222440.0,985.0,221455.0,5.336
427,2026-02-01,19112,14482,210028.87,19112,210028.87,937,1036315.0,3365.0,1032950.0,4.918,1036315.0,3365.0,1032950.0,4.918
523,2026-02-01,78914,30594,122071.14,78914,122071.14,854,991075.0,3980.0,987095.0,8.086,991075.0,3980.0,987095.0,8.086
612,2026-02-01,26602,543,264460.46,26602,264460.46,824,401710.0,29865.0,371845.0,1.406,401710.0,29865.0,371845.0,1.406
719,2026-02-01,20216,12806,173942.92,20216,173942.92,597,833395.0,2280.0,831115.0,4.778,833395.0,2280.0,831115.0,4.778
730,2026-02-01,32651,22854,473536.36,32651,473536.36,1846,2413190.0,11875.0,2401315.0,5.071,2413190.0,11875.0,2401315.0,5.071
833,2026-02-01,149074,48541,368091.47,149074,368091.47,1814,2118850.0,5115.0,2113735.0,5.742,2118850.0,5115.0,2113735.0,5.742
