network,payment_model,status,fraud_type,confidence,action,regs,valid_activity_regs,pct_no_session,retention_d7,one_session_share_active,same_duration_share_multi,med_sessions,med_duration_sec,payer_no_credit_use,cr_pay,cb_count_rate_payment_60dplus,cb_amount_rate_payment_60dplus,cb_lost_usd,p99_attempts,users_with_gap_le_60s,prior_clean_share,prior_clean_share_costed,spend_share_prior_clean,cr_lift_prior_clean,one_payment_share_cohort_60dplus,share_cost_gt_net,spend,roas,roas_cohort_60dplus
523,CPA,candidate,мотивований трафік + можлива автоматизація,high,не масштабувати; перевірити джерела; знизити ставку,790549,468223,0.239,0.022,0.595,0.007,1.0,108.5,0.119,0.007,0.0044,0.004,15265.0,43.0,0.2023,0.019,0.015,0.014,1.93,,,840478.0,4.54,4.89
719,CPA,candidate,можлива повторна атрибуція,medium,перевірити attribution window і повторні id_metauser,123232,84814,0.158,0.078,0.308,0.005,3.0,114.0,0.0,0.035,0.004,0.0028,22060.0,124.1,0.2973,0.133,0.157,0.166,1.8,,,1476975.0,4.42,5.33
911,CPA,candidate,мотивований трафік,high,не масштабувати; додати умови якості,267478,120509,0.236,0.015,0.632,0.007,1.0,111.0,0.078,0.004,0.0056,0.0077,11860.0,26.2,0.1069,0.017,0.02,0.017,2.6,,,166705.0,7.05,7.29
1052,змішана CPA,confirmed,кардинг,high,затримка виплат 60 днів; резерв; перегляд ставки,95788,58134,0.123,0.058,0.379,0.004,2.0,116.0,0.0,0.039,0.054,0.2124,1505315.0,155.7,0.3164,0.049,0.019,0.031,1.59,0.471,0.586,1924382.0,4.61,6.44
612,CPS,confirmed,кардинг + зловживання CPS,high,припинити співпрацю; переглянути невиплачені конверсії,111675,82535,0.152,0.066,0.358,0.004,2.0,127.0,0.0,0.029,0.1473,0.1207,104500.0,21.0,0.0373,0.084,0.056,0.059,1.39,0.907,0.96,1168206.0,0.85,0.85
303,CPA,not confirmed,гіпотезу мотивованого трафіку спростовано,low,дії щодо фроду не потрібні,174637,61823,0.147,0.059,0.376,0.004,2.0,129.0,0.0,0.013,0.006,0.0046,4205.0,51.0,0.1042,0.036,0.026,0.02,1.32,,,338473.0,2.94,3.38
413,CPA,not confirmed,суттєвих доказів фроду немає,low,стандартний контроль,184394,137031,0.172,0.07,0.363,0.004,2.0,118.0,0.0,0.048,0.0038,0.0036,40630.0,77.0,0.2895,0.075,0.082,0.082,1.54,,,2731467.0,3.97,5.6
427,CPA,not confirmed,суттєвих доказів фроду немає,low,стандартний контроль,232251,168653,0.163,0.073,0.357,0.004,2.0,117.0,0.0,0.049,0.0045,0.0047,77010.0,90.0,0.2858,0.067,0.073,0.072,1.44,,,3322418.0,4.81,6.55
730,CPA,not confirmed,суттєвих доказів фроду немає,low,стандартний контроль,137252,104715,0.151,0.076,0.302,0.006,3.0,111.0,0.0,0.041,0.0044,0.0039,22875.0,87.0,0.2294,0.044,0.048,0.039,1.17,,,1442696.0,3.86,4.09
897,CPA,not confirmed,суттєвих доказів фроду немає,low,стандартний контроль,153366,124809,0.157,0.058,0.38,0.003,2.0,118.5,0.0,0.036,0.0044,0.0044,28860.0,157.2,0.2668,0.025,0.015,0.015,1.28,,,1258427.0,5.1,6.9
organic,органічний трафік,not confirmed,суттєвих доказів фроду немає,low,стандартний контроль,1156766,800381,0.067,0.058,0.368,0.003,2.0,107.5,0.0,0.024,0.0046,0.0046,214855.0,149.0,0.2678,0.06,,,1.62,,,,,
ppc,внутрішня закупівля,not confirmed,суттєвих доказів фроду немає,low,стандартний контроль,3117908,2187596,0.158,0.078,0.324,0.005,3.0,125.0,0.0,0.026,0.0045,0.0041,459150.0,126.2,0.2556,0.01,0.01,0.015,2.03,0.476,0.003,21511213.0,5.02,5.96
1002,CPS,watchlist,ризик переплати в CPS,medium,контроль виплат після 60+ днів від реєстрації / LTV,108535,75524,0.08,0.068,0.332,0.002,3.0,139.0,0.0,0.067,0.0047,0.0037,48980.0,104.0,0.2555,0.049,0.021,0.027,1.27,0.475,0.75,2461660.0,5.03,6.28
833,CPA,watchlist,часовий сигнал автоматизації,low,зібрати другий сигнал; залишити на контролі,1114202,728364,0.187,0.041,0.415,0.008,2.0,99.0,0.0,0.012,0.0046,0.0039,48770.0,55.0,0.2567,0.034,0.021,0.019,1.96,,,2912719.0,4.02,4.45
851,CPA,watchlist,слабка залученість,medium,контроль у розрізі країни та місяця,219451,73281,0.187,0.019,0.603,0.007,1.0,91.0,0.0,0.004,0.0037,0.007,2265.0,27.9,0.1842,0.011,0.013,0.015,3.44,,,94133.0,4.33,4.49
889,CPS,watchlist,ризик переплати в CPS,medium,контроль виплат після 60+ днів від реєстрації / LTV,62118,44508,0.132,0.089,0.298,0.003,3.0,123.5,0.0,0.023,0.0025,0.0018,4815.0,91.4,0.1935,0.057,0.065,0.067,1.63,0.53,0.697,291124.0,5.81,9.69
